Period,Date,NetIncome,D&A,ChangeInWorkingCapital,CFO,Capex,FCF,CFI,NetDebtIssuance,Dividends,CFF,DeltaCash,BeginningCash,EndingCash
Q1 2021,2021-03-31,7550000000,5809000000,-4393000000,9927000000,-4033000000,5894000000,-26852000000,22677000000,-3741000000,18483000000,1558000000,9870000000,11428000000
Q2 2021,2021-06-30,1570000000,3086000000,2957000000,10910000000,-3959000000,6951000000,-3779000000,-1498000000,-3830000000,-6583000000,548000000,11428000000,11976000000
Q3 2021,2021-09-30,4664000000,4457000000,-896000000,9866000000,-4704000000,5162000000,3298000000,755000000,-3748000000,-3735000000,9429000000,11976000000,21405000000
Q4 2021,2021-12-31,4855000000,4500000000,-2121000000,11254000000,-3831000000,7423000000,-4756000000,-2146000000,-3749000000,-6587000000,-89000000,21405000000,21316000000
Q1 2022,2022-03-31,5164000000,5539000000,-7238000000,5732000000,-4748000000,984000000,-12651000000,866000000,-3749000000,24251000000,17332000000,21316000000,38648000000
Q2 2022,2022-06-30,4157000000,4450000000,4034000000,5907000000,-4908000000,999000000,-3788000000,-25622000000,-2086000000,-36650000000,-34531000000,38648000000,4117000000
Q3 2022,2022-09-30,6346000000,4514000000,-123000000,10071000000,-5921000000,4150000000,-5543000000,-1421000000,-2010000000,-6151000000,-1623000000,4117000000,2494000000
Q4 2022,2022-12-31,-23120000000,4595000000,1040000000,10313000000,-4229000000,6084000000,-3823000000,-894000000,-2014000000,-5191000000,1299000000,2494000000,3793000000
Q1 2023,2023-03-31,4228000000,4631000000,-2649000000,6678000000,-4335000000,2343000000,-3818000000,-1731000000,-2014000000,-3711000000,-851000000,3793000000,2942000000
Q2 2023,2023-06-30,4489000000,4675000000,-462000000,9922000000,-4270000000,5652000000,-5423000000,3494000000,-2083000000,2181000000,6680000000,2942000000,9622000000
Q3 2023,2023-09-30,3495000000,4705000000,-169000000,10336000000,-4647000000,5689000000,-4545000000,-5372000000,-2019000000,-7754000000,-1963000000,9622000000,7659000000
Q4 2023,2023-12-31,2188000000,4766000000,-1091000000,11378000000,-4601000000,6777000000,-5874000000,-3226000000,-2020000000,-6330000000,-826000000,7659000000,6833000000
Q1 2024,2024-03-31,3751000000,5047000000,-2229000000,7547000000,-3758000000,3789000000,-2961000000,-5098000000,-2034000000,-7815000000,-3229000000,6833000000,3604000000
Q2 2024,2024-06-30,3949000000,5072000000,-570000000,9093000000,-4360000000,4733000000,-4016000000,-2511000000,-2099000000,-5478000000,-427000000,3521000000,3094000000
Q3 2024,2024-09-30,145000000,5087000000,-613000000,10235000000,-5302000000,4933000000,-5150000000,-3067000000,-2038000000,-5562000000,-477000000,3203000000,2726000000
Q4 2024,2024-12-31,4408000000,5374000000,1772000000,11896000000,-6843000000,5053000000,-5363000000,-3169000000,-2037000000,-5853000000,680000000,2726000000,3406000000
Q1 2025,2025-03-31,4692000000,5190000000,-1593000000,9049000000,-4277000000,4772000000,-4958000000,1227000000,-2091000000,-553000000,3538000000,3406000000,6944000000
Q2 2025,2025-06-30,4861000000,5251000000,-932000000,9763000000,-4897000000,4866000000,-6086000000,3379000000,-2044000000,-45000000,3632000000,6944000000,10576000000
Q3 2025,2025-09-30,9314000000,5317000000,691000000,10152000000,-4887000000,5265000000,-3389000000,6969000000,-2033000000,2989000000,9772000000,10500000000,20272000000
Q4 2025,2025-12-31,4519000000,5128000000,638000000,11320000000,-6781000000,4539000000,-4344000000,-3076000000,-2012000000,-8777000000,-1745000000,20272000000,18527000000
